full_ticker,ticker,name,name_short,name_eng,listed_data,market,security_category,related_department,preferred,face_value,shares_available,corp_code,corp_code2,industry_code
KR7101170009,101170,우림기계,우림기계,"WOORIM MACHINERY Co., Ltd.",2009/04/28,KOSDAQ,주권,벤처기업부,보통주,500,13500000,00567222,00567222,29142
KR7006980007,006980,우성사료보통주,우성사료,WoosungFeed,1988/10/10,KOSPI,주권,,보통주,5000,3090000,00142661,00142661,106
KR7066590001,066590,우수AMS,우수AMS,"WOOSU AMS CO., LTD.",2003/02/12,KOSDAQ,주권,중견기업부,보통주,500,35618100,00301422,00301422,303
KR7017370008,017370,우신시스템보통주,우신시스템,WooshinSystems,2002/05/28,KOSPI,주권,,보통주,500,18314054,00142883,00142883,292
KR7103840005,103840,우양,우양,"WOOYANG CO., LTD.",2019/11/20,KOSDAQ,주권,중견기업부,보통주,100,14258000,00486875,00486875,103
KR7046940003,046940,우원개발,우원개발,"Woowon Development Co., Ltd.",2002/06/18,KOSDAQ,주권,우량기업부,보통주,500,18074350,00363246,00363246,421
KR7215380007,215380,우정바이오,우정바이오,"WOOJUNG BIO, Inc.",2015/05/18,KOSDAQ,주권,벤처기업부,보통주,500,12092926,01065013,01065013,701
KR7065680001,065680,우주일렉트로닉스,우주일렉트로,"UJU ELECTRONICS CO., LTD",2004/01/02,KOSDAQ,주권,우량기업부,보통주,500,9934220,00390903,00390903,2629
KR7105840003,105840,우진보통주,우진,WOOJIN INC,2010/07/26,KOSPI,주권,,보통주,500,20323614,00173944,00173944,27216
KR7018620005,018620,우진비앤지,우진비앤지,"WooGene B&G CO., Ltd",2008/05/20,KOSDAQ,주권,벤처기업부,보통주,500,28889293,00103547,00103547,21230
KR7010400000,010400,우진아이엔에스보통주,우진아이엔에스,WOOJINI&S,2018/09/14,KOSPI,주권,,보통주,500,7622000,00143262,00143262,422
KR7049800006,049800,우진플라임 보통주,우진플라임,"WOOJIN PLAIMM CO., LTD",2006/05/24,KOSPI,주권,,보통주,500,20000000,00303217,00303217,292
KR7016880007,016880,웅진보통주,웅진,WOONGJIN,1994/11/05,KOSPI,주권,,보통주,500,79927080,00143651,00143651,64992
KR7095720009,095720,웅진씽크빅 보통주,웅진씽크빅,"WOONGJIN THINKBIG CO., LTD.",2007/05/31,KOSPI,주권,,보통주,500,115505985,00628189,00628189,85120
KR7005820006,005820,원림보통주,원림,Wonlim,1990/04/20,KOSPI,주권,,보통주,5000,2297970,00143794,00143794,13225
KR7307280008,307280,원바이오젠,원바이오젠,Wonbiogen,2018/12/05,KOSDAQ,주권,벤처기업부,보통주,100,34737566,01326224,,213
KR7053080008,053080,원방테크,원방테크,"WONBANG TECH CO., LTD.",2020/09/24,KOSDAQ,주권,우량기업부,보통주,500,4294143,00304076,00304076,291
KR7032940009,032940,원익,원익,WonIk,1997/07/18,KOSDAQ,주권,벤처기업부,보통주,500,18193230,00210980,00210980,4659
KR7104830005,104830,원익머트리얼즈,원익머트리얼즈,"WONIK Materials Co., Ltd.",2011/12/28,KOSDAQ,주권,우량기업부,보통주,500,12608000,00623661,00623661,20121
KR7240810002,240810,원익아이피에스,원익IPS,"WONIK IPS Co.,Ltd.",2016/05/02,KOSDAQ,주권,우량기업부,보통주,500,49083901,01135941,01135941,292
KR7014190003,014190,원익큐브,원익큐브,WONIK CUBE Corp.,1996/04/26,KOSDAQ,주권,중견기업부,보통주,500,35399906,00128175,00128175,46739
KR7074600008,074600,원익큐엔씨,원익QnC,WONIK QnC CORPORATION,2003/12/12,KOSDAQ,주권,우량기업부,보통주,500,26288000,00468374,00468374,2312
KR7131390007,131390,원익피앤이,원익피앤이,WONIK PNE,2011/09/27,KOSDAQ,주권,우량기업부,보통주,500,14818910,00785475,00785475,281
KR7030530000,030530,원익홀딩스,원익홀딩스,"WONIK HOLDINGS CO.,LTD.",1996/09/24,KOSDAQ,주권,우량기업부,보통주,500,77237981,00216647,00216647,292
KR7012620001,012620,원일특강,원일특강,WonilSpecialSteel,1994/06/28,KOSDAQ,주권,우량기업부,보통주,500,4400000,00143907,00143907,24123
KR7216280008,216280,원텍,원텍,WONTECH,2015/04/29,KONEX,주권,일반기업부,보통주,500,6330040,00311270,00311270,27112
KR7376980009,376980,원티드랩,원티드랩,Wanted Lab Inc.,2021/08/11,KOSDAQ,주권,기술성장기업부,보통주,500,4703068,01441611,01441611,58221
